task_id,question_id,model_name,trial1_missing,trial2_missing,trial3_missing,run_id
218,11830492_0006,claude-opus-4-6,0,1,1,run_import_20260728_075447_7080ab5a
224,11830492_0012,mercury-2,0,1,0,run_import_20260728_075447_ca2be101
225,11830492_0013,gpt-5-mini,1,1,0,run_import_20260728_075447_b47028ad
226,11830492_0014,gpt-5-mini,0,1,0,run_import_20260728_075447_efe0f328
226,11830492_0014,mercury-2,1,0,0,run_import_20260728_075447_efe0f328
228,11913255_0002,gpt-5-mini,0,1,0,run_import_20260728_075448_cda4c762
233,11913255_0007,gpt-5-mini,1,0,1,run_import_20260728_075448_14d1b291
236,11913255_0010,mercury-2,0,1,0,run_import_20260728_075448_34903392
237,11913255_0011,gpt-5-mini,1,0,0,run_import_20260728_075448_7445badb
240,11913255_0014,claude-opus-4-6,1,1,0,run_import_20260728_075448_2e480b4f
246,11913255_0020,mercury-2,0,0,1,run_import_20260728_075448_5aa87c31
251,11913255_0025,gpt-5-mini,1,0,0,run_import_20260728_075448_93782f8c
252,11913255_0026,mercury-2,0,1,1,run_import_20260728_075448_02d5891e
255,11913255_0029,gpt-5-mini,1,0,1,run_import_20260728_075448_16703264
259,11913255_0033,gpt-5-mini,1,0,0,run_import_20260728_075449_fd5e1429
259,11913255_0033,mercury-2,0,1,0,run_import_20260728_075449_fd5e1429
260,11913255_0034,claude-opus-4-6,0,0,1,run_import_20260728_075449_6773ab7f
262,11913255_0036,gpt-5-mini,0,0,1,run_import_20260728_075449_9a1849d6
264,11913255_0038,claude-opus-4-6,0,0,1,run_import_20260728_075449_bbdee99c
267,11913255_0041,gpt-5-mini,0,0,1,run_import_20260728_075449_54f43e6c
270,11913255_0044,gpt-5-mini,1,0,0,run_import_20260728_075449_7da36abd
270,11913255_0044,mercury-2,0,0,1,run_import_20260728_075449_7da36abd
277,11913255_0051,gpt-5-mini,1,0,0,run_import_20260728_075449_2dff79a6
279,11913255_0053,gpt-5-mini,1,0,1,run_import_20260728_075449_3857f0f0
281,11913255_0055,gpt-5-mini,0,0,1,run_import_20260728_075449_92b930d3
282,11913255_0056,gpt-5-mini,0,0,1,run_import_20260728_075449_7ddc3961
286,11913255_0060,mercury-2,0,1,1,run_import_20260728_075450_67426b66
